goos: darwin
goarch: arm64
pkg: github.com/zchee/typesafe-sdk-go/internal/codec
cpu: Apple M3 Max
BenchmarkEncodeState/cjk/64KiB/check-16           	   44037	     27260 ns/op	2403.64 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/cjk/64KiB/check-16           	   44066	     27337 ns/op	2396.80 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/cjk/64KiB/check-16           	   44020	     27291 ns/op	2400.85 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/cjk/64KiB/check-16           	   44354	     26927 ns/op	2433.31 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/cjk/6MiB/encode-16           	     402	   2982030 ns/op	2109.78 MB/s	   16038 B/op	       1 allocs/op
BenchmarkEncodeState/cjk/6MiB/encode-16           	     393	   2999688 ns/op	2097.36 MB/s	   16405 B/op	       1 allocs/op
BenchmarkEncodeState/cjk/6MiB/encode-16           	     412	   2910308 ns/op	2161.78 MB/s	   15650 B/op	       1 allocs/op
BenchmarkEncodeState/cjk/6MiB/encode-16           	     406	   2949003 ns/op	2133.41 MB/s	   15881 B/op	       1 allocs/op
BenchmarkEncodeState/cjk/6MiB/encode-16           	     404	   2964081 ns/op	2122.56 MB/s	   15959 B/op	       1 allocs/op
BenchmarkEncodeState/cjk/6MiB/encode-16           	     394	   2982664 ns/op	2109.33 MB/s	      21 B/op	       1 allocs/op
BenchmarkEncodeState/cjk/6MiB/encode-16           	     414	   2933459 ns/op	2144.72 MB/s	   15574 B/op	       1 allocs/op
BenchmarkEncodeState/cjk/6MiB/encode-16           	     410	   2963811 ns/op	2122.75 MB/s	   15726 B/op	       1 allocs/op
BenchmarkEncodeState/cjk/6MiB/encode-16           	     399	   2990028 ns/op	2104.14 MB/s	      21 B/op	       1 allocs/op
BenchmarkEncodeState/cjk/6MiB/encode-16           	     414	   2960545 ns/op	2125.09 MB/s	   15574 B/op	       1 allocs/op
BenchmarkEncodeState/cjk/6MiB/check-16            	     456	   2625122 ns/op	2396.63 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/cjk/6MiB/check-16            	     469	   2601820 ns/op	2418.09 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/cjk/6MiB/check-16            	     460	   2593806 ns/op	2425.56 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/cjk/6MiB/check-16            	     456	   2632392 ns/op	2390.01 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/cjk/6MiB/check-16            	     456	   2595899 ns/op	2423.61 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/cjk/6MiB/check-16            	     458	   2622353 ns/op	2399.16 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/cjk/6MiB/check-16            	     462	   2612669 ns/op	2408.05 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/cjk/6MiB/check-16            	     458	   2644356 ns/op	2379.19 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/cjk/6MiB/check-16            	     450	   2653807 ns/op	2370.72 MB/s	       0 B/op	       0 allocs/op
BenchmarkEncodeState/cjk/6MiB/check-16            	     454	   2603999 ns/op	2416.07 MB/s	       0 B/op	       0 allocs/op
PASS
ok  	github.com/zchee/typesafe-sdk-go/internal/codec	143.967s
